id,title,overview,tagline,genres,keywords,cast,director,vote_average,vote_count,popularity,release_year,runtime,original_language,tags
19995,avatar,in the 22nd century a paraplegic marine is dispatched to the moon pandora on a unique mission but becomes torn between following orders and protecting an alien civilization,enter the world of pandora,"['action', 'adventure', 'fantasy', 'sciencefiction']","['cultureclash', 'future', 'spacewar', 'spacecolony', 'society', 'spacetravel', 'futuristic', 'romance', 'space', 'alien', 'tribe', 'alienplanet', 'cgi', 'marine', 'soldier', 'battle', 'loveaffair', 'antiwar', 'powerrelations', 'mindandsoul', '3d']","['samworthington', 'zoesaldana', 'sigourneyweaver', 'stephenlang', 'michellerodriguez']",['jamescameron'],7.2,11800,150.437577,2009,162.0,en,22nd century paraplegic marine dispatched moon pandora unique mission becomes torn following orders protecting alien civilization enter world pandora action adventure fantasy sciencefiction cultureclash future spacewar spacecolony society spacetravel futuristic romance space alien tribe alienplanet cgi marine soldier battle loveaffair antiwar powerrelations mindandsoul 3d samworthington zoesaldana sigourneyweaver stephenlang michellerodriguez jamescameron
285,pirates of the caribbean at worlds end,captain barbossa long believed to be dead has come back to life and is headed to the edge of the earth with will turner and elizabeth swann but nothing is quite as it seems,at the end of the world the adventure begins,"['adventure', 'fantasy', 'action']","['ocean', 'drugabuse', 'exoticisland', 'eastindiatradingcompany', ""loveofone'slife"", 'traitor', 'shipwreck', 'strongwoman', 'ship', 'alliance', 'calypso', 'afterlife', 'fighter', 'pirate', 'swashbuckler', 'aftercreditsstinger']","['johnnydepp', 'orlandobloom', 'keiraknightley', 'stellanskarsgård', 'chowyun-fat']",['goreverbinski'],6.9,4500,139.082615,2007,169.0,en,captain barbossa long believed dead come back life headed edge earth turner elizabeth swann nothing quite seems end world adventure begins adventure fantasy action ocean drugabuse exoticisland eastindiatradingcompany loveofone'slife traitor shipwreck strongwoman ship alliance calypso afterlife fighter pirate swashbuckler johnnydepp orlandobloom keiraknightley stellanskarsgård chowyun-fat goreverbinski
206647,spectre,a cryptic message from bonds past sends him on a trail to uncover a sinister organization while m battles political forces to keep the secret service alive bond peels back the layers of deceit to reveal the terrible truth behind spectre,a plan no one escapes,"['action', 'adventure', 'crime']","['spy', 'basedonnovel', 'secretagent', 'sequel', 'mi6', 'britishsecretservice', 'unitedkingdom']","['danielcraig', 'christophwaltz', 'léaseydoux', 'ralphfiennes', 'monicabellucci']",['sammendes'],6.3,4466,107.376788,2015,148.0,en,cryptic message bonds past sends trail uncover sinister organization battles political forces keep secret service alive bond peels back layers deceit reveal terrible truth behind spectre plan one escapes action adventure crime spy basedonnovel secretagent sequel mi6 britishsecretservice unitedkingdom danielcraig christophwaltz léaseydoux ralphfiennes monicabellucci sammendes
49026,the dark knight rises,following the death of district attorney harvey dent batman assumes responsibility for dents crimes to protect the late attorneys reputation and is subsequently hunted by the gotham city police department eight years later batman encounters the mysterious selina kyle and the villainous bane a new terrorist leader who overwhelms gothams finest the dark knight resurfaces to protect a city that has branded him an enemy,the legend ends,"['action', 'crime', 'drama', 'thriller']","['dccomics', 'crimefighter', 'terrorist', 'secretidentity', 'burglar', 'hostagedrama', 'timebomb', 'gothamcity', 'vigilante', 'cover-up', 'superhero', 'villainess', 'tragichero', 'terrorism', 'destruction', 'catwoman', 'catburglar', 'imax', 'flood', 'criminalunderworld', 'batman']","['christianbale', 'michaelcaine', 'garyoldman', 'annehathaway', 'tomhardy']",['christophernolan'],7.6,9106,112.31295,2012,165.0,en,following death district attorney harvey dent batman assumes responsibility dents crimes protect late attorneys reputation subsequently hunted gotham city police department eight years later batman encounters mysterious selina kyle villainous bane new terrorist leader overwhelms gothams finest dark knight resurfaces protect city branded enemy legend ends action crime drama thriller dccomics crimefighter terrorist secretidentity burglar hostagedrama timebomb gothamcity vigilante cover-up superhero villainess tragichero terrorism destruction catwoman catburglar imax flood criminalunderworld batman christianbale michaelcaine garyoldman annehathaway tomhardy christophernolan
49529,john carter,john carter is a warweary former military captain whos inexplicably transported to the mysterious and exotic planet of barsoom mars and reluctantly becomes embroiled in an epic conflict its a world on the brink of collapse and carter rediscovers his humanity when he realizes the survival of barsoom and its people rests in his hands,lost in our world found in another,"['action', 'adventure', 'sciencefiction']","['basedonnovel', 'mars', 'medallion', 'spacetravel', 'princess', 'alien', 'steampunk', 'martian', 'escape', 'edgarriceburroughs', 'alienrace', 'superhumanstrength', 'marscivilization', 'swordandplanet', '19thcentury', '3d']","['taylorkitsch', 'lynncollins', 'samanthamorton', 'willemdafoe', 'thomashadenchurch']",['andrewstanton'],6.1,2124,43.926995,2012,132.0,en,john carter warweary former military captain whos inexplicably transported mysterious exotic planet barsoom mars reluctantly becomes embroiled epic conflict world brink collapse carter rediscovers humanity realizes survival barsoom people rests hands lost world found another action adventure sciencefiction basedonnovel mars medallion spacetravel princess alien steampunk martian escape edgarriceburroughs alienrace superhumanstrength marscivilization swordandplanet 19thcentury 3d taylorkitsch lynncollins samanthamorton willemdafoe thomashadenchurch andrewstanton
559,spiderman 3,the seemingly invincible spiderman goes up against an allnew crop of villain including the shapeshifting sandman while spidermans superpowers are altered by an alien organism his alter ego peter parker deals with nemesis eddie brock and also gets caught up in a love triangle,the battle within,"['fantasy', 'action', 'adventure']","['dualidentity', 'amnesia', 'sandstorm', ""loveofone'slife"", 'forgiveness', 'spider', 'wretch', 'deathofafriend', 'egomania', 'sand', 'narcism', 'hostility', 'marvelcomic', 'sequel', 'superhero', 'revenge']","['tobeymaguire', 'kirstendunst', 'jamesfranco', 'thomashadenchurch', 'tophergrace']",['samraimi'],5.9,3576,115.699814,2007,139.0,en,seemingly invincible spiderman goes allnew crop villain including shapeshifting sandman spidermans superpowers altered alien organism alter ego peter parker deals nemesis eddie brock also gets caught love triangle battle within fantasy action adventure dualidentity amnesia sandstorm loveofone'slife forgiveness spider wretch deathofafriend egomania sand narcism hostility marvelcomic sequel superhero revenge tobeymaguire kirstendunst jamesfranco thomashadenchurch tophergrace samraimi
38757,tangled,when the kingdoms most wantedand most charmingbandit flynn rider hides out in a mysterious tower hes taken hostage by rapunzel a beautiful and feisty towerbound teen with 70 feet of magical golden hair flynns curious captor whos looking for her ticket out of the tower where shes been locked away for years strikes a deal with the handsome thief and the unlikely duo sets off on an actionpacked escapade complete with a supercop horse an overprotective chameleon and a gruff gang of pub thugs,theyre taking adventure to new lengths,"['animation', 'family']","['hostage', 'magic', 'horse', 'fairytale', 'musical', 'princess', 'animation', 'tower', 'blondewoman', 'selfishness', 'healingpower', 'basedonfairytale', 'duringcreditsstinger', 'healinggift', 'animalsidekick']","['zacharylevi', 'mandymoore', 'donnamurphy', 'ronperlman', 'm.c.gainey']","['byronhoward', 'nathangreno']",7.4,3330,48.681969,2010,100.0,en,kingdoms wantedand charmingbandit flynn rider hides mysterious tower hes taken hostage rapunzel beautiful feisty towerbound teen 70 feet magical golden hair flynns curious captor whos looking ticket tower shes locked away years strikes deal handsome thief unlikely duo sets actionpacked escapade complete supercop horse overprotective chameleon gruff gang pub thugs theyre taking adventure new lengths animation family hostage magic horse fairytale musical princess animation tower blondewoman selfishness healingpower basedonfairytale healinggift animalsidekick zacharylevi mandymoore donnamurphy ronperlman m.c.gainey byronhoward nathangreno
99861,avengers age of ultron,when tony stark tries to jumpstart a dormant peacekeeping program things go awry and earths mightiest heroes are put to the ultimate test as the fate of the planet hangs in the balance as the villainous ultron emerges it is up to the avengers to stop him from enacting his terrible plans and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure,a new age has come,"['action', 'adventure', 'sciencefiction']","['marvelcomic', 'sequel', 'superhero', 'basedoncomicbook', 'vision', 'superheroteam', 'duringcreditsstinger', 'marvelcinematicuniverse', '3d']","['robertdowneyjr.', 'chrishemsworth', 'markruffalo', 'chrisevans', 'scarlettjohansson']",['josswhedon'],7.3,6767,134.279229,2015,141.0,en,tony stark tries jumpstart dormant peacekeeping program things go awry earths mightiest heroes put ultimate test fate planet hangs balance villainous ultron emerges avengers stop enacting terrible plans soon uneasy alliances unexpected action pave way epic unique global adventure new age come action adventure sciencefiction marvelcomic sequel superhero basedoncomicbook vision superheroteam marvelcinematicuniverse 3d robertdowneyjr. chrishemsworth markruffalo chrisevans scarlettjohansson josswhedon
767,harry potter and the halfblood prince,as harry begins his sixth year at hogwarts he discovers an old book marked as property of the halfblood prince and begins to learn more about lord voldemorts dark past,dark secrets revealed,"['adventure', 'fantasy', 'family']","['witch', 'magic', 'broom', 'schoolofwitchcraft', 'wizardry', 'apparition', 'teenagecrush', 'werewolf']","['danielradcliffe', 'rupertgrint', 'emmawatson', 'tomfelton', 'michaelgambon']",['davidyates'],7.4,5293,98.885637,2009,153.0,en,harry begins sixth year hogwarts discovers old book marked property halfblood prince begins learn lord voldemorts dark past dark secrets revealed adventure fantasy family witch magic broom schoolofwitchcraft wizardry apparition teenagecrush werewolf danielradcliffe rupertgrint emmawatson tomfelton michaelgambon davidyates
209112,batman v superman dawn of justice,fearing the actions of a godlike super hero left unchecked gotham citys own formidable forceful vigilante takes on metropoliss most revered modernday savior while the world wrestles with what sort of hero it really needs and with batman and superman at war with one another a new threat quickly arises putting mankind in greater danger than its ever known before,justice or revenge,"['action', 'adventure', 'fantasy']","['dccomics', 'vigilante', 'superhero', 'basedoncomicbook', 'revenge', 'superpowers', 'clarkkent', 'brucewayne', 'dcextendeduniverse']","['benaffleck', 'henrycavill', 'galgadot', 'amyadams', 'jesseeisenberg']",['zacksnyder'],5.7,7004,155.790452,2016,151.0,en,fearing actions godlike super hero left unchecked gotham citys formidable forceful vigilante takes metropoliss revered modernday savior world wrestles sort hero really needs batman superman war one another new threat quickly arises putting mankind greater danger ever known justice revenge action adventure fantasy dccomics vigilante superhero basedoncomicbook revenge superpowers clarkkent brucewayne dcextendeduniverse benaffleck henrycavill galgadot amyadams jesseeisenberg zacksnyder
